Year,Month,Day,Block,Row,Column,Rep,Height_cm
2019,Oct,15,14,1,A,1,
2019,Oct,15,14,1,A,2,
2019,Oct,15,14,1,A,3,
2019,Oct,15,14,1,A,4,
2019,Oct,15,14,1,B,1,
2019,Oct,15,14,1,B,2,
2019,Oct,15,14,1,B,3,
2019,Oct,15,14,1,B,4,
2019,Oct,15,14,1,C,1,52
2019,Oct,15,14,1,C,2,65
2019,Oct,15,14,1,C,3,44
2019,Oct,15,14,1,C,4,37
2019,Oct,15,14,1,D,1,40
2019,Oct,15,14,1,D,2,39
2019,Oct,15,14,1,D,3,34
2019,Oct,15,14,1,D,4,32
2019,Oct,15,14,2,A,1,117
2019,Oct,15,14,2,A,2,115
2019,Oct,15,14,2,A,3,100
2019,Oct,15,14,2,A,4,94
2019,Oct,15,14,2,B,1,
2019,Oct,15,14,2,B,2,
2019,Oct,15,14,2,B,3,
2019,Oct,15,14,2,B,4,
2019,Oct,15,14,2,C,1,20
2019,Oct,15,14,2,C,2,
2019,Oct,15,14,2,C,3,
2019,Oct,15,14,2,C,4,
2019,Oct,15,14,2,D,1,
2019,Oct,15,14,2,D,2,
2019,Oct,15,14,2,D,3,
2019,Oct,15,14,2,D,4,
2019,Oct,15,15,3,A,1,
2019,Oct,15,15,3,A,2,
2019,Oct,15,15,3,A,3,
2019,Oct,15,15,3,A,4,
2019,Oct,15,15,3,B,1,
2019,Oct,15,15,3,B,2,
2019,Oct,15,15,3,B,3,
2019,Oct,15,15,3,B,4,
2019,Oct,15,15,3,C,1,45
2019,Oct,15,15,3,C,2,44
2019,Oct,15,15,3,C,3,44
2019,Oct,15,15,3,C,4,40
2019,Oct,15,15,3,D,1,
2019,Oct,15,15,3,D,2,
2019,Oct,15,15,3,D,3,
2019,Oct,15,15,3,D,4,
2019,Oct,15,15,4,A,1,59
2019,Oct,15,15,4,A,2,52
2019,Oct,15,15,4,A,3,75
2019,Oct,15,15,4,A,4,39
2019,Oct,15,15,4,B,1,50
2019,Oct,15,15,4,B,2,42
2019,Oct,15,15,4,B,3,43
2019,Oct,15,15,4,B,4,53
2019,Oct,15,15,4,C,1,79
2019,Oct,15,15,4,C,2,100
2019,Oct,15,15,4,C,3,74
2019,Oct,15,15,4,C,4,60
2019,Oct,15,15,4,D,1,87
2019,Oct,15,15,4,D,2,80
2019,Oct,15,15,4,D,3,84
2019,Oct,15,15,4,D,4,58
2019,Oct,15,16,1,A,1,
2019,Oct,15,16,1,A,2,
2019,Oct,15,16,1,A,3,
2019,Oct,15,16,1,A,4,
2019,Oct,15,16,1,B,1,50
2019,Oct,15,16,1,B,2,35
2019,Oct,15,16,1,B,3,40
2019,Oct,15,16,1,B,4,36
2019,Oct,15,16,1,C,1,40
2019,Oct,15,16,1,C,2,30
2019,Oct,15,16,1,C,3,
2019,Oct,15,16,1,C,4,
2019,Oct,15,16,1,D,1,54
2019,Oct,15,16,1,D,2,53
2019,Oct,15,16,1,D,3,74
2019,Oct,15,16,1,D,4,78
2019,Oct,15,16,2,A,1,94
2019,Oct,15,16,2,A,2,80
2019,Oct,15,16,2,A,3,75
2019,Oct,15,16,2,A,4,72
2019,Oct,15,16,2,B,1,60
2019,Oct,15,16,2,B,2,62
2019,Oct,15,16,2,B,3,55
2019,Oct,15,16,2,B,4,46
2019,Oct,15,16,2,C,1,
2019,Oct,15,16,2,C,2,
2019,Oct,15,16,2,C,3,
2019,Oct,15,16,2,C,4,
2019,Oct,15,16,2,D,1,
2019,Oct,15,16,2,D,2,
2019,Oct,15,16,2,D,3,
2019,Oct,15,16,2,D,4,
2019,Oct,15,17,3,A,1,123
2019,Oct,15,17,3,A,2,80
2019,Oct,15,17,3,A,3,84
2019,Oct,15,17,3,A,4,75
2019,Oct,15,17,3,B,1,16
2019,Oct,15,17,3,B,2,19
2019,Oct,15,17,3,B,3,27
2019,Oct,15,17,3,B,4,19
2019,Oct,15,17,3,C,1,
2019,Oct,15,17,3,C,2,
2019,Oct,15,17,3,C,3,
2019,Oct,15,17,3,C,4,
2019,Oct,15,17,3,D,1,119
2019,Oct,15,17,3,D,2,95
2019,Oct,15,17,3,D,3,61
2019,Oct,15,17,3,D,4,72
2019,Oct,15,17,4,A,1,35
2019,Oct,15,17,4,A,2,36
2019,Oct,15,17,4,A,3,29
2019,Oct,15,17,4,A,4,42
2019,Oct,15,17,4,B,1,
2019,Oct,15,17,4,B,2,
2019,Oct,15,17,4,B,3,
2019,Oct,15,17,4,B,4,
2019,Oct,15,17,4,C,1,31
2019,Oct,15,17,4,C,2,50
2019,Oct,15,17,4,C,3,45
2019,Oct,15,17,4,C,4,34
2019,Oct,15,17,4,D,1,18
2019,Oct,15,17,4,D,2,
2019,Oct,15,17,4,D,3,
2019,Oct,15,17,4,D,4,
